company_name,job_description,position_title,portal
Forward Slope Inc.,would love work fastgrowing company amazing perks benefits including educational professional development great worklife balance forward slope wants join team fastpaced global company great reputation dod industry years forward slope inc seeking experienced project manager lead software development team planning implementing delivery innovative software systems department defense dod daytoday efforts include working highlytalented professionals manage cost schedule performance staff delivering missioncritical software systems provide navy warfighters tools resources successfully planning executing missions fulltime position enterprise solutions portfolio position requires candidates located san diego ca join forward slope telework option available work home yay flexible working hours based job needs great fun work culture amazing benefits package full time employees including employer contribution employee medical benefits weeks pto year paid company holidays year team building continuous appreciation events employees education professional development programs help educational professional growth free coffeesnacks occasional free food much required qualifications currently hold active secret clearance years management experience managing software engineering team following agile methodologies generating implementing project management processes align government requirements expectations providing project technical leadership help drive execution tasks maintaining costs aligning resources based budgets using evm developing maintaining schedules poam ims meet delivery dates using software development lifecycle sdlc collaboration tools ie atlassian azure devops supervising personnel providing clear communication feedback microsoft office products ie word powerpoint excel teams project sharepoint high proficiency communication skills verbal written desired qualifications project management professional pmp certification familiarity navy programs specifically navwar forward slope equal opportunity employer minoritieswomenveteransdisable,Project Manager,shine
"VSV WINS, INC",,Remote Project Manager,shine
BAE Systems,job description whats working company makes national impact inspiring bae systems ship repair group san diegoca seeking project manager navy shipyard reporting director operations oversee manage technical projects serve liaison project planning safety line management additional responsibilities include overall responsibility deck plate execution safety quality cost schedule performance project ultimate say tactical decisions made construction alignment schedule pmo strategy coordinate directly craft managers support schedule adherence cost performance quality performance required education experience skills year degree accredited university years experience ship repair ship new construction roles leading major industrial projects equivalent combination education experience experience naval ship repairconstruction commercial ship repairconstruction ability board traverse areas naval commercial vessels preferred education experience skills preferred degree industrial manufacturing systems engineering bae systems platforms services bae systems inc subsidiary bae systems plc international defense aerospace security company delivers full range products services air land naval forces well advanced electronics security information technology solutions customer support services improving future protecting lives ambitious mission bae systems working means using passion ingenuity counts defending national security technology superior products intelligence solutions develop latest technology defend national security continually hone skills teammaking big impact global scale bae systems youll find rewarding career truly makes difference platforms services ps sector bae systems inc big stuff armored combat vehicles naval guns missile launchers naval ship repairjust name employees take pride work front lines day building products protect lives serve may biased think ps coolest work around think commitment diversity equity inclusion bae systems work hard day nurture inclusive culture employees valued feel belong conscious need employees see reflected level company know order unlock full potential workforce everyone must feel confident best sincere equipped thrive provide impactful professional development experiences employees invest social impact partnerships uplift communities drive purposeful change find significant opportunities meaningful work environment intentionally designed one learn grow belong,Project Manager/Ship Manager,indeed
"Intelliswift Software, Inc.",location remote start must able work either san diego ca north carolina office open musthaves selfstarter years experience project release manager software development team internet ios applications great communication able drive complex problems resolution various levels organization exceptional attention detail organized great follow issues emerge multiple teams strong multitasking aptitude allow manage multiple releases concurrently different states strong project management fundamentals allow adapt rapidly continue make progress even ambiguity high nice analyze data report management teams great documentation skills ability educate teams new evolving processes release management continuous integration delivery deployment experience plus release engineering project manager job description summary looking energetic engineering project manager experienced release management deliver great products millions customers use day lead major server releases ensure new features ready testing preproduction environments coordinate production launch activities development qe sre fastpaced organization drive successful deployments functional teams deliver success customers engineering project manager responsible managing release activities several product verticals identifying deliverables managing risks improving process drives successful outcomes challenge take critical role oversee entire new feature delivery process development production wed hear key qualifications selfstarter years experience project release manager software development team internet ios applications great communication able drive complex problems resolution various levels organization exceptional attention detail organized great follow issues emerge multiple teams strong multitasking aptitude allow manage multiple releases concurrently different states strong project management fundamentals allow adapt rapidly continue make progress even ambiguity high great documentation skills ability educate teams new evolving processes description work crossfunctionally engineering project managers engineers deliver preproduction production deployments successfully ability drive lead multiple releases organization start finish strong focus delivering time communicator comfortable speaking groups clearly effectively provide status point build good relationships various development qe operations leadership teams support represent process internal external groups navigate execute environment prone ambiguity help lead teams successful delivery new features customers proactively seek problem resolutions improve processes increase efficiency manage daily operational requirements set expectation realistic project plans analyze data report management teams education experience degree computer science related field equivalent work experience highly desirable release management continuous integration delivery deployment experience plus familiarity scrum project management practices,"Remote - Release Project Manager - San Diego, CA or North Carolina",LinkedIn
What Goes Around Comes Around,,Sales Associate,glass door
Fourth Floor,,Sales Associate – Luxury Brand in NYC!,shine
Macys,job overviewas leader sales customer service lead driving sales selling focus macys customer colleagues activities related presenting clean neat organized shopping environment customers managing aspects selling support direction lead initiatives related efforts increase customer loyalty delivering macys standards customer service training coaching development team colleagues grow following leadershipkey accountabilities drive exceed sales goals leading macys initiatives coaching recognition optimizing productivity efficiency lead customer service store ensure colleagues engage customers provide friendly easy shop environment manage aspects selling support including workload execution backstocking equipment return maintaining stockroom signing standards supporting merchandising process support manager operations needed complete fulfillment product movement logistics back house activities support manager style merchandise execution needed complete merchandising product movement price changes visual execution event setup activities support manager asset protection needed execution shortage reduction strategies merchandise protection review sales star rewards results strategize action continued improvement determine strategies drive motivate colleagues solicit star rewards program reinforcing benefits new accounts review utilize sales data provide colleague recognition develop communicate strategies improve results continue build client relationship macys stylists customers myclient customer acquisition initiatives plan execute events community outreach monitor address performance issues timely basis conduct ongoing talent analysis colleagues establish career progression plans key players positions result retention best talent turnover reduction actively fill open positions prioritizing internal colleagues customer experience commission high level selling areas interview hire train direct manage coach develop coordinate evaluate discipline direct indirect reports establish strategy work provide insight decision support direct manage team meet exceed performance behavioral expectations address complaints resolve problems colleagues utilize checkin process tool colleague talent development promotion advancement analyze reports order strategize deliver results implement action plans focusing deficient areas highlight growth opportunities ensure effective sales floor coverage development workforce solutions lead selling initiatives store needed establish high level shortage awareness effectiveness ensure policies procedures implemented perform duties assigned regular dependable attendance punctualityqualificationseducationexperience high school diploma equivalent college preferred required minimum years retail management department specialty storecommunication skills effective written verbal communication skills ability draft reports communications effectively present management internal external business partners interpret instructional documents safety rules operating maintenance instructions procedure manualsphysical demands regularly required sit talk hear use hands finger handle feel frequently required stand walk reach hands arms occasionally required lift andor move lbs climb ladders stoop kneel crouch crawl requires close vision color vision ability adjust focusmathematical skills basic math functions addition subtraction multiplication divisionother skills working knowledge microsoft word powerpoint excel exchange ability handle multiple tasks simultaneously selfmotivated excellent organizational prioritization time management skills ability collaborate function member team must possess strong sense urgency must proficient use computers rf equipment strong interpersonal leadership skills highly organized ability adapt quickly changing prioritieswork hours ability work flexible schedule retail hours including day evening weekends andor holidays associated topics cashier client courtesy clerk customer retail associate retail cashier retail sales consultant sales associate seller service associate,"Manager, Sales and Customer Service",hirect
Home Depot,,Customer Service/Sales,hirist
BENCO NEW YORK,apply company prides generating outstanding sales results clients ambition succeed grow hardworking marketing sales force experience promotional work year expansion even greater results weve recently acquired exciting new client add database looking source confident new candidate join growing team looking candidates may hold experience however experience sales marketing sector fundamental work candidates develop product knowledge presentation skills responsibilities customer representation product demonstrations brand management face face customer service new customer acquisitions existing customer upgrades opportunity participate regional national seminars campaignspecific specialists travel opportunities requirements enthusiastic ambitious creative proactive full time immediate start availability preferred,Sales And Marketing Representative,glass door
ON THIS DAY,otd founded acclaimed designer john varvatos otd luxe inclusiveminded brand dedicated inspiring rise individualized wardrobe design ofthemoment womenswear menswear unisex clothing footwear accessories philosophy products stories meant empower customers explore personal style inspire rise individualized wardrobe fashion startup otd journey soon introduce brand world debut season coming fall building world class retail team drive evolve opening stores soho new york west hollywood los angeles experienced sales professional passion building positive productive relationships youre dynamic communicator exceptional experiences guests customers brand ambassador strong sense fashion styleand deliver confident representation otd brand supportive team player collaborator know create organic connection customer stage customers journeyoffering considerate consistent followups creating thoughtful opportunities engage new established clients key responsibilities greet engage visitor authentic personal approach foster meaningful client relationships develop maintain engagement strategiesactivations clientele tiers achieve individual sales goals ensure appropriate follow clients maintaining accurate client information utilizing crm digital tools client books support partner store management achieve operational objectives maintain merchandising standards demonstrate entrepreneurial approach strong business acumen regarding business opportunities product assortment stay date otd brand stories themes concepts well relevant fashion popculture trends maintain compressive knowledge products able expertly speak designs details styling connects business needs change demonstrate flexibility adaptability order accomplish store objectives qualifications experience working luxury retail hospitality environments excellent communication interpersonal skillsboth written verbal passion building relationships creating positive human connections curiosity motivation desire learn grow,Sales Professional,LinkedIn
Gaf,come build career roof job description summary sales service representative responsible supporting sales marketing efforts large national retail locations ssr covering locations ny ct essential duties facilitate sale flow gaf products big box home improvement retail accounts educate promote growth roofing category emphasis commercial products ability train individuals small groups emphasis general product knowledge application techniques best practices develop maintain close working relationships retail sales service manager gaf territory sales managers big box home improvement retail managementpro deskmerchandising teams store associates implement gaf product set integrity stores provide feedback market conditions insure proper inventory levels maintenance retail product categories provide training retail associates perform duties assigned level based competencies applicable professional level level based competencies designated based job level content adaptability building strategic working relationships technicalprofessional knowledge skills stress tolerance decision making communication technical knowledgeskills entry intermediate advanced intermediate proficiency using microsoft office suite intermediate understanding commercial roofing andor coatings products strong knowledge industries process systems general knowledgeskills entry intermediate advanced intermediate advanced communication skills strong customer focus intermediate advanced analytical skills strong organizational presentation skills ability multitask ability build working relationships intermediate time management skills advanced level negotiation skills presentation skills small group setting educationexperience babs degree years experience sales branch manager customer service focused role building materials industry plus combination retail sales customer service interest becoming territory sales manager desired highly motivated strong desire advancement roofing sales capacity dimensions direct reports indirect reports budget responsibility travel requirements taking responsible approach creating environments allow best protect matters part commitment health safety covid vaccines required candidates employees position vaccination required require accommodation medical religious needs gaf engage interactive process determine reasonable accommodation provided accordance applicable state federal law believe employees greatest resource offer competitive salary benefits vacation packages full time permanent positions proud equal opportunity workplace gaf hawk sgi siplast proud affirmative action employers committed equal employment opportunity regardless race color ancestry religion sex national origin sexual orientation age citizenship marital status disability gender identity veteran status disability special need requires accommodation please let know applying positions must eligible work need employer sponsored visa work permit,Sales Service Representative,indeed
Drybar Shops,overview new hire bonus drybar blow dryonly bar philosophy simple focus one thing best thats blowouts fact tagline says cuts color blowouts hiring immediately looking fantastic retail sales associates provide excellent customer service clients normal retail sales associate customer service position growing faster ever fiercely recruiting amazing sales associates customer service representatives drybar retail receptionists called bartenders thats tend social experience bar atmosphere coolest retail sales associate customer service position job market heres questions youdo hold power tomake anyone smilebefriend strangersturn failing customer experienceremember names facesdo five things one time answer yes abovethen wan na meet hiring immediately responsibilities drybar bartenders retail sales associates customer service representatives responsible dayas store associate leading clients experience check check ensuring drybar standards upheld creating memorable experience clientsetting tone positive shop atmosphere approaching day hosting partyorganizing executing shop flow clients staff positive mannerserving subject matter expert reservation systemensuring client information entered accuracy timelinessrebooking appointments check addressing clients nametroubleshooting reservation system issues make changes client profiles optimize appointments fit business needs check notes ensure clients needs metoptimizing maximizing appointments reservation system ensuring timely communication superior customer serviceengaging clients serving complimentary beveragesmaintaining highest degree ethics handling client payments stylist tipscommissions balance cash drawer opening close shift changesproblem solving faced client concerns operational issues always ensuring solution focused providing excellent experience clientmaintaining overall shop cleanliness conducting walkthroughs bar keeping front desk area cleanmaintaining clear communication shop management overall shop operationseducating clients drybar products tools replenish sell throughupholding drybars core valuesbeing time scheduled shiftsother duties projects assigned manager manager duty qualifications years experience fast paced customer service centric environment sales associate retail sales associate customer service representative store associate salon associate similar positionprevious experience point sale systems strongly preferredprevious salonspa experience preferred requiredhigh school diploma equivalentunderstand importance providing amazing customer servicepromote professional brandappropriate imagestrong communication skills strong presenceselfstarter leadership mentalitypleasant positive demeanorability work sustained fast paceexcellent problem solving troubleshooting skillstrack record providing overthetop amazing customer serviceability multitask easefrequently required stand andor walk duration hour long shiftshas technical ability skills operate point sale systemproblem solver use logic support resources solve problems front deskmaintains professional demeanor pressuredrybar follows applicable federal state local laws regarding background checks legal disclaimer db franchise llc dbf drybar shop independently owned operated dbf involved responsible employment personnel matters decisions made drybar franchise owner individual results may vary business results may vary individual studio basis due numerous economic business factors unauthorized duplication dissemination distribution material strictly prohibited drybar registered trademark owned helen troy limited,Sales Associate / Customer Service Representative,hirist
Career-Coach Services ,interested apply directly linkedin page careercoachtm services weve helping coaches succeed grow careercoach system tm contract work ongoing education licensed services outstanding revenues comradery coaches canada role career development counselor working directly individuals define advance careers services passion purpose career assessments resume writing linkedin updates cover letters influence networking find new roles employment role contractor licensed careercoach perform company services expected contractor hours week available billable work clients former linkedin profinder participant services page holder plus lead development practice please let know status apply travel option contractor give lectures vlogs related facetoface content delivery required united states primary location location role anywhere contractorowned professional space united states available utilizing webbased technology facilitate coaching sessions role support careercoach team coaching others success keeps sharp tune world supported coaches create successful clients earn sharing knowledge coaching forward could starting already career coach life coach business coach executive coach title certified careercoachtm responsibilities involve sourcing coaching billing clients individual career advancement qualifications prefer years coaching mentoring others public private environment bachelors degrees required masters degrees frequent business marketing human resources phd degrees plus communications human resources instructional design counseling may youve coached regular w away home role coached years understand proven coaching system would benefit well training certification ongoing support currently work remotely wfh looking expand earn take home hour net income basis assisting job seekers obtain next great role wages range depending prices type coaching session delivered youll coaching passion purpose assessments define work types culture resume linkedin cover letter influence networking design implementation interview coaching mock interviews offer letter negotiation certifications earn certifications training products plus sales communications training careercoach systemtm certification career insights behavioral assessment certification driving forces motivations certifications want find contact arrange minute interview could best choice youll make grow headquarters address locust street walnut creek ca website employment type contract careercoach services discriminate basis age gender disability religion ethnicity race color national origin life preferences well laws prohibiting discrimination conjunction working licensed contractor coach,Career Coach Counselor,naukari
"Placement, Inc",placement looking entrepreneurial career coaches work directly clients role youll help clients achieve career goals enable clients get faster better results would alone youll work clients find direction tell story write resume prepare interviews rapidly expanding community expert career coaches help people navigate career career coach placement platform get spend time coaching instead grinding away sales marketing role flexible fully remote contract role usbased coaches placement placement mission unlock career potential americans believe working coach radically improve clients careers improve lives addition connecting clients expert career coaches also suite tools help find great jobs track progress communicate coach learn put best foot forward responsibilities coach placement clients achieve career goalsconduct remote video sessions clientscomplete asynchronous asset reviews timemanage roster clients businessleverage placement platform engage communicate clientsretain clients providing maximum valuedeliver quality guidance client requirements wed hear career coaching certifications icf cce accredited organizationcollege degree psychology counseling years total work years coaching counseling relevant years talent hr recruiting hiring manager relevant experiencea passion coaching entry midlevel professionalscareer coaching skills including career transition career direction resumelinkedincover letter assistance job search strategy interview prep technical mock interviews negotiation networking personal brand development placement offers culture focused customer value growth feedback integrity backed founders fund house fund coatue xyz ventures also founders instacart eventbrite doordash opendoor flexport yammer placement holdings inc equal opportunity employer actively welcome candidates diverse backgrounds join organization benefits flexible workset hours anywhere hours weekcreate profile match clients needing coaching expertisehighly competitive hourly ratessignon bonus opportunityno hardcore sales marketing grow roster clientsjoin community coachesremote wfh,Career Coach,LinkedIn
Hope Pay,fulltimeparttime remoteapply remote work home part time data entry entry levelthank interest remote work home listingnow recruiting folks experience data entry remote work home data entry administrative assistantassisting retail web developer morepart time working home whenever feel itwe connect folks work home jobs tasks opportunity wide variety careers anyone degree experience requiredregistration quick simplestart using existing skills earn extra income working remotely comfort homehome office pretty much need able keep track work knowledge microsoft office suite may helpful absolutely mandatory may simply write workflow paperyou access free version libre office well help keep work organizedapply today web site get started nowyou responsible working home remotely supervision everyones dream come trueability read write englishspanish plus mandatoryknowledge spreadsheets plus mandatorydata entry experience helpfulwe offer simple remote work home work anywhere time get started immediately spaces tend fill quickly,Remote Work from Home Part Time Data Entry - Entry Level,hirist
NuVasive,nuvasive job summary primary responsibilities nuvasive innovative medical device company focused developing minimally disruptive surgical products procedurally integrated solutions spine company largest player billion global spine market focus speed innovation absolute responsiveness superior clinical outcomes revolutionizing spine procedures performed patients world join nuvasive b revenue continuing climb revenue growth presence countries employees place start career accelerate careers larger relative impact anywhere else worked join sales team nuvasive continues grow need top sales rock stars achieve revenue product mix requirements territories join team works top surgeons provide innovative solutions back pain spine surgery sales associate responsible selling companys implantable medical devices hospitals clinics physicians appropriate provides support training andor guidance actual procedures surgeries primary responsibilities develops required technical clinical sales competencies completion sales associate development program order qualify meet expectations advancement provides coordination logistic support properly ordering transporting setting reassembling surgical instrument sets sterile processing departments hospitals surgery centers acts product support consultant surgeons operating room staff surgical procedures safe proper use proprietary products related surgical techniques supports contributes growth revenues assigned sales specialists territories delegated business development activities surgeons hospitals related staff works extended normal work hours flexibility able adjust personal schedule performs duties assigned required skills capabilities must able provide hours weekend case support necessary highly organized capacity prioritize deadlineoriented environment knowledge utilizing computerstablets familiarity work customer relationship management tools microsoft suite products competency learn effectively articulate technical product knowledge medical terminology discussions customers proactive mindset dexterity quickly make sense complex issues managing multiple tasks simultaneously qualified maintain privileges required hospitals including meeting applicable physical requirements vaccination requirements including covid vaccine applicable education experience typically requires bachelors degree minimum years related experience advanced degree experience equivalent work experience preferred year medical device sales preferred science andor technical background aptitude required years general business business sales travel andor physical requirements able travel must able frequently lift andor move pounds roles require access hospital facilities must eligible maintain credentials required hospitals including meeting applicable physical requirements vaccination requirements including covid vaccine applicable nuvasive equal opportunity employer qualified applicants receive consideration employment regard race color religion sex sexual orientation gender identity national origin age protected veteran status discriminated basis disability eeo law poster options available nuvasives eeo policy available nuvasive nuvasive inc nasdaq nuva leader spine technology innovation mission transform surgery advance care change lives companys lessinvasive procedurally integrated surgical solutions designed deliver reproducible clinically proven outcomes companys comprehensive procedural portfolio includes surgical access instruments spinal implants fixation systems biologics software surgical planning navigation imaging solutions magnetically adjustable implant systems spine orthopedics intraoperative neuromonitoring technology service offerings billion net sales nuvasive approximately employees operates countries serving surgeons hospitals patients information visit,"Sales Associate (Providence, RI)",hirect
Symmetry Financial Group,,Sales Representative / Sales Associate,naukari
Showcase,,Sales Associates- Providence Place,naukari
Totally pagoda,working guests helping find jewelry suits needs piercing also excellent customer service skills needed division zales jewelers part time flexible hours available hourly pay plus bonus potential covid precautions plastic shield work stations temperature screenings social distancing guidelines place sanitizing disinfecting cleaning procedures place paid training yes management store manager assistant manager work remotely job ideal someone dependable reliable spontaneous peopleoriented enjoys interacting people working group projects achievementoriented enjoys taking challenges even might fail innovative prefers working unconventional ways tasks require creativity job type parttime pay hour benefits paid time schedule hour shift night shift weekend availability supplemental pay bonus pay covid considerations ability commuterelocate providence ri reliably commute planning relocate starting work required work location one location,"Sales Associate Totally Pagoda,Providence Place Mall",glass door
Journeys,,Part-Time Sales Associate,LinkedIn
West Marine,descriptionour customers come fulfill need complete project boat gather items great day water sales associate customers rely product knowledge understand features values benefits products comfortable engaging customer discussions fulfill immediate needs shopping well recommend additional items services complement boating experience team key ensuring leave right products make happen interaction west marine customer opportunity exceed expectations ensure remain loyal customer qualificationskeen interest providing great customer interactions service sharing knowledge passion west marine products ability process wide variety transactions help customers seamlessly complete purchases strong communication skills comfortable small groups individual interactions solve problems passion boating life water available work flexible schedule based business needs including nights weekends holidays ability lift mobilize items weighing pounds shoulder height unassisted west marine take care customers take care value local communities founding principles important mission statement years ago began today enthusiastic serving boaters live boat local communities offer competitive benefits includinghealthcare coverage fulltime associatesgenerous merchandise discountspaid time offgrowth development opportunitiesour goal best boating supply company country living values values built superior customer service trustworthy transparent supportive collaborative come join team,Sales Associate,glass door
Boscov's Department Store,boscovs retail sales associate use retail sales launch exciting career retail one nations leading retailers boscovs chain full service department stores serving total family needs customers nearly years boscovs known great values famous brands offering broad selection quality merchandise stores online looking retail sales associates join growing retail team part fastpaced dynamic sales team develop relationships customers ensure customers needs met quick efficient manner previous sales experience customer service experience great opportunity pursue rewarding career company known quality big savings apply today job responsibilities retail sales associate build customer confidence provide accurate information promote products point successful sale responsible establishing professional yet personalized rapport customer order close sales provide best customer experience additional responsibilities include selling merchandise providing customer service company standards ie greet acknowledge customers solid product knowledge components customer service maintaining appearance selling floor performing marketing activities opening new boscovs charge accounts achieve goals set company accurately efficiently completing transactions paperwork adhering company policies procedures maintaining awareness advertised merchandise processing maintaining stock assisting receiving folding straightening replenishing merchandise job requirements successful candidates retail sales associate role ability desire actively engage customers sell merchandise provide excellent customer service additional requirements retail sales associate include prior retail sales experience andor customer service experience preferred excellent written verbal interpersonal communication skills proficiency basic math skills ability learn selling skills operate pos register telxon available work varied days hours work schedule requires including evenings weekends benefits value employees thats provide competitive compensation benefits package member retail operations eligible receive competitive starting rate weekly pay comprehensive benefits package including medicaldental paid vacations personal days liberal employee discounts opportunity advancement much work people love shop equal opportunity employer,Sales Associate- FT,indeed
Match Group,hello labs internal innovation research development rd team tasked focus strategic innovation match group mtchcom team incubates new promising ideas working match group brands tinder hinge match others empower innovation portfolio products looking entrepreneurially driven developer help build next big thing match group chance make real impact millions people connect form meaningful relationships world based dallas tx however open considering remote office highly qualified candidates travel periodically dallas safe youll make impact work dallas office part rd team build new dating social applications youll leverage programming expertise add features existing platforms guide new concepts idea phase way release closely collaborate product design engineering teams participate architecture design greenfield projects impact influence product directly best ideas source welcome take part research directly impact strategy match group going forward could match years professional software engineer experience good knowledge software development best practices excellent communication skills strong ability write readable testable code understanding value unit tests familiarity common software design patterns familiarity multiple programming languages esp c kotlin ruby swift experience building secure scalable web apis experience working databases esp postgresql cassandra experience working cloud infrastructure aws gcp bonus experience pubsub queues esp kafka kinesis mobile development experience ios android whats team small nimble team iterates fast ships often bring new dating products users startup vibe big company constantly trying reimagine human connection embracing new technologies anticipating changes global digital zeitgeist unlocking new exciting ways bring people together weve helped millions people find love happiness drinks snacks single day attend industry conferences liremote match group mission simple help people find love happiness love employees examples annual training budget employee employer match contributions specific covid allowance home office setup matched giving qualified organizations paid parental leave weeks happy hours company events match group represent collection unique brands focus together health safety employees thats require employees fullyvaccinated person office companysponsored fun need talk inperson vaccine requirement people team work accommodations review process proud equal opportunity employer value rich dynamics diversity brings company discriminate basis race religion color creed national origin ancestry disability marital status age sexual orientation sex including pregnancy sexual harassment gender identity expression uniformed service veteran status genetic information legally protected characteristic period,Software Engineer (Remote),LinkedIn
Applied Insight LLC,innovating solve realworld problems applied insight enhances ability federal government customers preserve national security deliver justice serve public advanced technologies quality analysis work closely agencies industry overcome technical cultural hurdles innovation empowering latest endtoend cloud infrastructure big data cyber capabilities expertise crossdomain boundary solutions network analytics devops lowtohigh development unique industry develop deliver innovative products applications deployed highly sensitive customer environments broad applications federal missions joining applied insight team youll working solve realworld problems missions matter people share passions encourage ambition vital hire committed people great return commitment empowering autonomy support tools need fulfill true potential mission leverage application development expertise gain exposure aspects cloud serverless development enhance current software development skillset developing backend frontend components cloudnative saaspaas system backed aws services resources integral part team knowledgeable technologists responsible helping build worlds fullscale cloud emulation platform shift multifaceted position requiring spend time working frontend backend web development frameworks aws azure services kubernetes terraform backend resources efficiently build new functionality continuously improve user experience working shift team provides great opportunity leverage existing skillsets developing new ones day life things may given day frontend expand existing components develop new components web ui include resource management analytics data visualization realtime notifications dashboards items added roadmap expand automated testing suite support cicd activities backend expand existing components develop new components support additional functionality include restful apis support frontend calls restful apis support apidriven services systemtosystem usage eventdriven microservices execute automated functionalities develop new features support emulation platform improve nosql database structure improve efficiency mongodb perform incremental testing actions code processes deployments identify ways streamline execution minimize errors encountered cloud infrastructure expand existing components develop new components terraform based cloud infrastructure running workloads using kubernetes excel role embracing emerging technology leverage aws azure accompanying services help facilitate software development efforts wellrounded bring indepth experience multiple technologies including modern development tools languages frameworks developmenttestqa tools cloud computing container development microservices automation able work part small team working together develop solutions commercial government customers motivated want continually learn new things work new technologies flexible able work remotely part virtual team primarily communicates collaboration technologies focused automation possible look ways automate manual processes increase efficiency speed operability tasks expecting ie qualifications proficient performing software development software engineering software automation experience least two following languagesframeworksplatforms java spring python django angular react kubernetes terraform experience agile software development ability work remotely part virtual team nice experience amazon web services microsoft azure oracle cloud infrastructure cloud computing platforms experience classified airgapped highside aws regions experience container development methodologies orchestration networking docker kubernetes istio etc deep knowledge understanding aws azure sdks work experience cicd development tools git jira gitlab jenkins etc excellent oral written communication skills keen sense customer service excellent problemsolving troubleshooting skills processoriented great documentation skills bs computer science equivalent area technical study additional years experience substitute bs degree provide return excellent compensation amazing benefits multiple health insurance options include ppo plan zero deductibles hsa plan immediate vesting company matches first contributed next contributed fully paid longterm disability shortterm disability life insurance flexible spending account options generous paid time includes one bucket leave use employee sees fit separate holiday sick vacation flexible work schedules ability bank extra hours additional time government shutdown protection employees dont use leave days year inclement weather budget issues employee centric culture belief empower good give tools need achieve success grow career commitment learning growth easy ways achieve including training budget education assistance mentorship programs collaborative learning sessions collaborative environment fosters communication open door policy eeoaa including vets disabled covid policy prospective successful candidates required adhere applied insights covid policy applied insight employees must fully vaccinated submit regular testing defined policy must self certify vaccination status first day employment,Remote Software Developer (Remote),glass door
Windstream,job description job id job overview software engineer position working fun challenging fastpaced environment using scrum methodologies drive deliver solutions windstreams vast network technologies driving force network management system team opportunity use knowledge programming languages design software programs duties include coding testing software ensure functionality updating software programs refine components cybersecurity measures data storage capacities position demands selfstarter comfortable engaging architects sponsors business partners peer developers achieve goals working functional groups expanse windstream environments job responsibilities analyzes requirements meet demand performance products systems data may perform engineering design evaluations including costeffective utilization materials required may design develop test implement components equipment software functional area organization applies commonly used concepts practices procedures resolve variety issues works problems moderate scope exercises judgement plan accomplish goals identifies issues provides resolution workgroup customer normally receives general instruction routine work detailed instruction new projects assignments qualifications external minimum requirements good understanding telecommunications industry good knowledge networking disciplines vendor equipment computer software knowledge include microsoft office custom planning tools databases general itsm cybersecurity practices proficiency popular coding languages including python java c systems azure pipeline git excellent knowledge software development life cycle strong problemsolving communication skills oral written knowledge objectrelational mapping frameworks good analytical skills ability prioritize projects good interpersonal skills ability stay current economic technological developments industry excellent organization time management skills education experience college degree technical related software development field years professional level experience years professional level related software development experience equivalent combination education professional level related software development experience required job requirements minimum quali degree technical related field years professional level experience years professional level related technical experience equivalent combination education professional level related technical experience required eeo statement windstream equal opportunity employer windstream celebrate authenticity uniqueness people ideas qualified applicants receive consideration employment regard race color religion sex age national origin genetic information protected veteran status current military status disability sexual orientation gender identity marital status creed citizenship status status protected law give full consideration qualified disabled individuals protected veterans diverse voices employees fuel innovation inclusive culture employment windstream subject post offer preemployment drug testing,Software Engineer I ( 100% Remote),hirect
